address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,listed_in(type),listed_in(city),rate_cat,avg_cost_log
8016,3690,1,1,4.1,451.5,1,27,3651,2159,0,1,2,4.204692619390966
3844,7022,1,0,4.1,451.5,1,27,2964,952,0,1,2,4.204692619390966
784,6499,1,0,3.8,451.5,1,22,1416,766,0,1,2,4.204692619390966
2515,199,0,0,3.7,88.0,1,78,2766,2555,0,1,2,3.7612001156935624
340,2940,0,0,3.8,166.0,4,27,3453,2188,0,1,2,4.110873864173311
4606,8215,1,0,3.8,286.0,4,27,3332,1823,0,1,2,4.110873864173311
2396,6249,0,0,3.6,8.0,57,27,266,2210,0,1,2,4.204692619390966
3317,5549,1,1,4.6,451.5,1,29,2013,2324,1,1,2,4.110873864173311
128,5771,1,0,4.0,324.0,1,19,3906,742,1,1,2,4.1588830833596715
3318,6905,1,0,4.2,451.5,1,19,5212,767,1,1,2,4.04305126783455
998,1422,1,0,4.1,402.0,1,19,5213,579,1,1,2,4.02535169073515
8014,1388,1,1,4.2,150.0,1,19,2919,742,1,1,2,4.110873864173311
6867,7814,1,1,4.2,164.0,1,19,1740,638,1,1,2,4.02535169073515
774,1291,0,0,4.0,424.0,1,19,4485,645,1,1,2,3.9512437185814275
784,6499,1,0,3.8,451.5,1,22,1416,766,1,1,2,4.204692619390966
3178,1399,1,0,3.8,90.0,1,19,2188,579,1,1,2,4.127134385045092
3296,1526,1,0,3.9,133.0,1,19,2968,715,1,1,2,4.204692619390966
5093,4102,1,0,3.8,144.0,1,19,3647,841,1,1,2,4.1588830833596715
5901,7475,0,0,3.9,93.0,1,19,951,736,1,1,2,3.7612001156935624
5498,39,1,0,3.1,13.0,1,19,266,638,1,1,1,3.9318256327243257
1560,8140,1,0,3.0,62.0,1,19,492,723,1,1,1,3.9318256327243257
4374,8635,1,0,3.7,180.0,1,19,3883,783,1,1,2,4.02535169073515
10655,1320,0,0,3.6,28.0,1,19,266,708,1,1,2,4.23410650459726
3097,5036,1,0,3.6,62.0,1,81,3649,1542,1,1,2,4.110873864173311
7287,3151,0,0,3.7,31.0,1,19,266,579,1,1,2,3.7612001156935624
477,1283,0,0,3.2,11.0,1,19,266,600,1,1,1,4.110873864173311
3598,1878,1,0,3.8,75.0,1,26,266,795,1,1,2,3.5263605246161616
528,6603,0,0,3.3,4.0,1,19,266,709,1,1,1,4.02535169073515
8012,1993,0,0,3.3,23.0,1,19,266,708,1,1,1,4.04305126783455
789,7268,0,0,3.8,148.0,4,29,3583,1894,1,1,2,4.04305126783455
4086,6159,1,0,4.0,219.0,4,19,3882,735,1,1,2,4.110873864173311
2719,2669,1,0,2.8,451.5,1,78,608,2088,2,1,1,4.02535169073515
464,7463,1,0,3.9,35.0,1,39,266,271,2,1,2,4.02535169073515
470,5592,1,0,3.9,172.0,1,39,3436,2314,2,1,2,4.174387269895637
7489,2490,1,0,4.2,415.0,1,78,4327,1881,2,1,2,4.02535169073515
470,859,1,0,3.9,230.0,1,39,4100,403,2,1,2,4.127134385045092
4251,2516,1,0,2.8,91.0,1,78,266,1953,2,1,1,3.9318256327243257
7395,7470,1,0,4.2,451.5,1,27,3285,987,2,1,2,4.110873864173311
4963,2446,1,0,4.4,451.5,32,27,1257,2181,2,1,2,4.174387269895637
6138,4694,1,0,4.0,17.0,1,78,266,2463,2,1,2,2.995732273553991
4736,1551,1,0,3.8,133.0,4,78,1817,2647,2,1,2,3.5263605246161616
10157,3117,0,0,3.9,28.0,1,65,266,2463,2,1,2,3.7612001156935624
3314,4761,1,0,3.9,286.0,1,78,574,556,2,1,2,4.02535169073515
6673,2302,1,0,3.9,451.5,1,78,3374,2330,2,1,2,4.204692619390966
3317,5549,1,1,4.6,451.5,1,29,2013,2324,2,1,2,4.110873864173311
3906,3213,0,0,3.8,36.0,1,39,4069,2061,2,1,2,3.9318256327243257
2136,4107,1,0,3.6,244.0,49,78,266,1898,2,1,2,3.7612001156935624
1919,6142,1,0,4.0,451.5,49,27,779,1931,2,1,2,3.9512437185814275
2170,860,1,0,3.7,451.5,68,27,2958,981,2,1,2,4.219507705176107
1894,7605,1,0,3.1,245.0,49,78,3564,1988,2,1,1,3.7612001156935624
3586,5790,0,0,3.7,21.0,1,78,266,1823,2,1,2,3.9512437185814275
1719,6753,1,0,4.1,28.0,87,78,266,1383,2,1,2,2.995732273553991
7514,1915,0,0,4.3,345.0,1,40,2360,1498,2,1,2,3.9318256327243257
2165,1069,1,0,4.0,451.5,32,27,4059,490,2,1,2,4.174387269895637
7305,6261,0,0,4.0,451.5,1,78,3662,1536,2,1,2,3.9512437185814275
394,2729,1,0,3.9,451.5,1,39,4446,1448,2,1,2,3.9512437185814275
3013,760,1,0,3.8,104.0,1,78,266,445,2,1,2,3.7612001156935624
3314,8565,1,1,4.2,354.0,1,27,4796,223,2,1,2,4.204692619390966
